"94583499721281536, 'talent99'"
"125542033245863936, 'starrPOWerJinx'"
"153639583232294912, 'Nangwaya'"
"155442840954994689, 'Kitchik'"
"174886806347710464, 'Fisis'"
"181481772897271808, 'Felleraris'"
"184644884576075776, 'Shinobu'"
"189803245646905344, 'Fragrkull'"
"221675822925217793, 'Brotege'"
"229622951085867008, 'Shima kanzaki'"
"235140094938447874, 'Sanity'"
"236390307846029313, 'Etzrel'"
"239824321286111252, 'UnseenAsian'"
"244504449853292544, 'smoking-_-hippy'"
"248057912990236672, 'ManedWolf'"
"259762390491463691, 'Fedjen.Dagger'"
"259765354434134016, 'Saeraer'"
"263802270792155148, 'Leland'"
"263839945142042627, 'Lucja'"
"268543538990546944, 'kanariefant'"
"275280442884751360, 'puffdip'"
"298912358112165888, 'Scottish Highlander'"
"300361556787593217, 'Falcon_Z'"
"300776711124025354, 'BotZilla'"
"301431803494006786, 'Quincy'"
"302061752995020800, 'Weetikniet'"
"365970293916958730, 'kanariefant'"
"393455856391421962, '2BotZilla'"
"394877069336510474, 'warriorsv'"
"345536738552446977, 'F.'"
"209748326449414147, 'Sandvich'"
"165842032927965185, 'Manga-Kun 🐢'"
"338583601920606209, 'RustyPlayz'"
"205494894188429312, 'Elphelt'"
"163466881804533760, 'Sinmana'"
"356099868638445578, 'Zero'"
"394080286461263873, 'FireBAsic'"
"331609909823012875, 'Trinity'"
"275786526749753345, 'yokohama'"
"264677494282649600, 'EggBot'"
"313932847788326913, 'ExtremeDie'"
"346503822803468290, 'KAUO_LAG'"
"266182553520570368, 'BioBot'"
"266915298664382464, 'ValentinHacker'"
"341825573259182080, 'SapphireBot'"
"198382248427257856, 'ArtistiK'"
"315790220589006848, 'PSN- nightcrawler_abi'"
"389084820795555841, 'FaTOP Bot'"
"324256154723287041, 'calaxo'"
"261788054967025664, 'redstonepro23'"
"259851762868027403, 'SamTEC'"
"234699930038435842, 'osheaaddy'"
"134073775925886976, 'MathBot'"
"328865883848048640, 'knight'"
"389493821043376130, 'Lorris'"
"264166609642323978, 'Im-Lop'"
"170827016558346240, 'Azratosh'"
"367771390423597058, 'TomeN'"
"134331323807563777, 'Woah'"
"271992863175344130, 'oto.braz'"
"194878164344897537, 'Whimsiccal'"
"340154951764410368, 'tamicul'"
"315218270015848452, 'Blaker'"
"387381842581520396, 'MaudDib53'"
"286575393262141441, 'Supersebi4'"
"177478276447600640, 'WORMS le Tweaker'"
